demoid,title,author1first,author1last,author1institution,author2first,author2last,author2institution,author3first,author3last,author3institution,author4first,author4last,author4institution,author5first,author5last,author5institution,author6first,author6last,author6institution,author7first,author7last,author7institution,author8first,author8last,author8email,author8institution,author9first,author9last,author9institution,author10first,author10last,author10institution,author11first,author11last,author11institution,author12first,author12last,author12institution,abstract,url,hall,booth,urlvimeo
"PO1023","Real-Time Decoder and Player for  MPEG V-DMC Dynamic Meshes","Aleksei","Martemianov","Nokia Technologies","Emre","Aksu","Nokia","Lauri","Ilola","Nokia Technologies","Lukasz","Kondrad","Nokia ",,,,,,,,,,,,,,,,,,,,,,,,,,"This paper presents a real-time decoder and player for 3D dynamic meshes, compressed using the MPEG V-DMC standard (Video-based Dynamic Mesh Coding). MPEG V-DMC efficiently compresses dynamic 3D meshes, enabling smooth playback of high-resolution meshes with minimal latency. We demonstrate that the V-DMC standard is highly effective for representing dynamic meshes, offering significant data compression while maintaining high visual quality. Our implementation further shows that MPEG V-DMC can be successfully deployed on simple, resource-constrained devices, making it ideal for a wide range of applications, including volumetric media streaming, augmented reality (AR), and virtual reality (VR). By leveraging modern web technologies, we provide a platform-independent solution that broadens the accessibility of high-quality XR content.","uF9LEaF3PvM","SURCOUF","18"
"PO1052","Beaming AR: A Compact Environment-Based Display System for Battery-Free Augmented Reality","Hiroto","Aoki","The University of Tokyo","Yuta","Itoh","The University of Tokyo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beaming AR demonstrates a new approach to augmented reality (AR) that fundamentally rethinks the conventional all-in-one head-mounted display (HMD) paradigm. Instead of integrating power-hungry components into headwear, our system relocates projectors, processors, and power sources to a compact environment-mounted unit, allowing users to wear only lightweight, battery-free glasses. Our demonstration features a 300mm ž 300mm bench-top setup that combines steerable laser projection with co-axial infrared marker tracking. The tracking system uses retroreflective markers and follows the same optical path as the display beam, enabling precise alignment between real-world motion and projected AR content. Conference attendees can experience this technology firsthand by wearing passive eyewear and observing AR content in free space. This proof-of-concept implementation shows how environmental hardware offloading could lead to more practical and comfortable AR displays for extended use.","ZCFGA2QN0og","SURCOUF","19"
"PO1046","Conversational Virtual Agent and Immersive Visualizations for Robotic Ultrasound","Tianyu","Song","Technical University of Munich","Felix","Pabst","Technical University of Munich","Ulrich","Eck","Technical University of Munich","Nassir","Navab","Technische Universitat Munchen",,,,,,,,,,,,,,,,,,,,,,,,,,"Robotic ultrasound systems offer significant potential for improving diagnostic precision but face challenges in patient acceptance due to the lack of human interaction. We present a novel system that integrates a conversational virtual agent, powered by a large language model, with two immersive visualization modalities?augmented reality (AR) and virtual reality (VR). The virtual agent engages patients through natural dialogue, utilizing real-time speech-to-text and text-to-speech systems to provide clear guidance and reassurance throughout the procedure. The AR visualization allows patients to remain aware of the robot while interacting with the virtual assistant, whereas the VR visualization fully immerses patients in a virtual environment where the robot is hidden, offering a more relaxed experience. This demo showcases how combining adaptive communication with immersive environments can bridge the gap between robotic automation and patient-centered care in medical procedures. A video of this demo can be found here: 88axBCUFsLM","88axBCUFsLM","SURCOUF","3"
"PO1058","Immersive AI-Powered Language Learning Experience in Virtual Reality: A Gamified Environment for Japanese Learning","Qingzhu","Zhang","University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This work presents an AI-driven language learning system that combines immersive VR technology and gamification to explore alternative approaches in language education. Developed for Japanese language learners, the system creates a simulated Tokyo environment where learners engage with AI-powered virtual characters to complete tasks, such as purchasing items at convenience stores and seeking directions. It provides dynamic vocabulary assistance and adaptive feedback to support practical communication skills through authentic interactions. The system adjusts task complexity and vocabulary difficulty according to user performance, while reinforcing language acquisition through contextualized conversations. The implementation explores how the integration of artificial intelligence with virtual environments may contribute to computer-assisted language learning.","2EOdvnkhlUs","SURCOUF","14"
"PO1113","Demonstration of Visual Presentation Method for Paranormal Phenomena Through Binocular Rivalry Induced by Dichoptic Color Differences","Kai","Guo","Graduate School of Frontier Sciences","Juro","Hosoi","The University of Tokyo","Yuki","Shimomura","The University of Tokyo","Yuki","Ban","The University of Tokyo","Shinichi","Warisawa","The University of Tokyo",,,,,,,,,,,,,,,,,,,,,,,"Paranormal visual effects, such as spirits and miracles, are frequently depicted in visual games and media design. However, current methods do not express paranormal experiences as aspects of the sixth sense. We propose utilizing binocular rivalry to provide a new visual presentation method by displaying different images in each eye. In this study, we developed a color selection method based on experimentally gathered data to choose a secondary color to display to the other eye when given an initial input color. We then applied this method to create two demonstrations. Our approach aims to deliver a more realistic visual experience of paranormal phenomena, thereby enhancing user satisfaction while simultaneously simplifying the design process for designers who utilize our proposed method.","aNYycILmFlE","SURCOUF","9"
"PO1122","Virtual Reality Antarctic Weather Station Repair for Informal STEM Learning","Kevin","Ponto","University of Wisconsin - Madison","Ross","Tredinnick","University of Wisconsin - Madison","Sarah","Gagnon","University of Wisconsin, Madison","David","Gagnon","University of Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,"Developed in collaboration with polar science experts, this virtual reality game immerses users in the life of a scientist maintaining weather stations in Antarctica. Designed for the Meta Quest 3, the game challenges players to complete realistic repair tasks reimagined as engaging tactile puzzles. As players tackle these challenges, a virtual assistant provides guidance, not only assisting with gameplay mechanics but also offering valuable insights into the real-world science behind their actions. This interactive experience aims to captivate players aged ten and above, offering a unique blend of education and entertainment.  A preview of the experience can be found at cQpikAcYwek.","cQpikAcYwek","SURCOUF","8"
"PO1134","Drawn Together: A Collocated Mixed Reality Sketching and Annotation Experience","Andrew","Rukangu","University of Georgia","Ethan","Bowmar","University of Georgia","Sun Joo (Grace)","Ahn","University of Georgia","Beshoy","Morkos","University of Georgia","Kyle","Johnsen","University of Georgia",,,,,,,,,,,,,,,,,,,,,,,"We present Drawn Together, a 3D immersive mixed-reality sketching and annotation tool designed for collaboration research.  The system supports a variety of 3D content creation ranging from mid-air, free-form line drawing to voxel-based drawings and mannequins that can be flexibly posed.   Groups of users can engage in synchronous, collocated design, education, art, and play aligned against a pass-through video backdrop to afford physical references and annotations.  A number of input options are also presented, including standard motion controllers, a tracked stylus, and ring-augmented hand tracking.","gTKL5lChgao","SURCOUF","20"
"PO1064","LLM-powered Text Entry in Virtual Reality","Yan","Ma","Stony Brook University","Tony","Li","Stony Brook University","Zhi","Li","Stony Brook University","Xiaojun","Bi","Stony Brook University",,,,,,,,,,,,,,,,,,,,,,,,,,"Large language models (LLMs) have demonstrated exceptional performance across various language-related tasks, offering significant potential for enhancing text entry in Virtual Reality (VR). We introduce an LLM-powered text entry system for VR, which integrates multiple input modalities and utilizes a fine-tuned LLM as a keyboard decoder. The LLM-based decoder achieved 93.1% top-1 decoding accuracy on a word gesture typing dataset and 95.4% on tap typing, highlighting its potential for VR text entry applications. Our demonstration shows how LLMs can support tap typing and word-gesture typing through raycasting and joystick-based inputs, potentially accommodating various user preferences and enhancing the adaptability of VR text input methods.","YMORsSqYLtU","SURCOUF","5"
"PO1074","From 2D to 3D: Redesigning the Desktop Metaphor in Virtual Reality","Mingzhu","Cui","Yonsei University","Sangwon","Lee","Yonsei University","Junyoung","Kim","Yonsei University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Since the 1980s, scholars have proposed Natural User Interfaces (NUI) as the future of interaction, with VR HMD technology making 3D environments and hand gestures feasible. However, much of today?s VR research focuses on algorithms or conceptual ideas, and industry solutions often extend traditional 2D WIMP GUIs. In response, this study presents a new VR desktop paradigm incorporating object, metaphor, physics, embodiment, spatial context, and magic. A prototype featuring a music player and calculator demonstrated high usability and immersion.Moreover, workspace customization emerges as a valuable feature for personalization, yielding positive outcomes in terms of spatial memory and task re-immersion. This underscores the potential of VR interfaces to offer not only novel interaction techniques but also enhanced cognitive and experiential benefits for users, suggesting avenues for future research on broader applications.","lPk4ShbOXrI","SURCOUF","4"
"PO1116","Room Connection Techniques in Virtual Reality for Walking in Impossible Spaces","Ana","Rebelo","NOVA LINCS, NOVA School of Science and Technology","Pedro A.","Ferreira","NOVA School of Science and Technology","Rui","Nóbrega","Faculdade de Ciencias e Tecnologia, Universidade Nova de Lisboa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This work demonstrates three room-connection techniques ? portals, corridors, and central hubs ? that can be used in virtual environments to create ""impossible spaces"". These spaces use overlapping areas to maximize available physical space, enabling walking even in constrained spaces.
In this experiment, a user can navigate through a five-room apartment of about 106.25 mý by walking within a physical play area of about 6.25 mý (2.5 x 2.5 meters). 
The primary contribution of this work is demonstrating how these room-connection techniques can be applied to dynamically adapt virtual environments to fit small physical spaces, such as those commonly available to VR users at home. A video showcasing this demo can be found at the following link: a_4kcC0VOuY.","a_4kcC0VOuY","SURCOUF","7"
"PO1114","Interoperable and Open Source Solution for Anchoring Augmented Reality Content to the Real World","Sylvain","Buche","Orange Labs","Ingo","Feldmann","Fraunhofer HHI","Patrick","Harms","Nuremberg Institute of Technology","Hugo","Kruber","IRT b-com","Jeremy","Lacoche","Orange Labs","Stéphane Louis Dit","Picard","Orange","Sylvain","Renault","Fraunhofer Heinrich-Hertz-Institut","Jerome","Royan","jerome.royan@b-com.com","IRT b-com",,,,,,,,,,,,,"This research demonstration presents an open source end-to-end solution for facilitating the anchoring of virtual content in the real world based on various platforms thanks to the interoperable specifications of the ETSI Augmented Reality Framework (ARF) Industry Specification Group (ISG). The solution relies on authoring tools developed for Unity and the created AR applications can be deployed on platforms such as iOS, Android and VisionOS. A validation scenario for data center maintenance is detailed to illustrate the solution. Various examples based on the glTF format are also provided to show the potential of this novel architecture.","wxqSAIa4mVg","CEZEMBRE","2"
"PO1137","Focus360: Guiding User Attention in Immersive Videos for VR","Paulo Vitor","Santana da Silva","Advanced Knowledge Center in Immersive Technologies (AKCIT)","Lucas Lima","Neves","Advanced Knowledge Center in Immersive Technologies (AKCIT)","Rafael Alves","Gois","Advanced Knowledge Center in Immersive Technologies (AKCIT)","Diogo","Fernandes","Advanced Knowledge Center in Immersive Technologies (AKCIT)","Rafael","Sousa","Advanced Knowledge Center in Immersive Technologies (AKCIT)","Arlindo","Galvço","Advanced Knowledge Center in Immersive Technologies (AKCIT)",,,,,,,,,,,,,,,,,,,,"This demo introduces Focus360, a system designed to enhance user engagement in 360§ VR videos by guiding attention to key elements within the scene. Using natural language descriptions, the system identifies important elements and applies a combination of visual effects to guide attention seamlessly. At the demonstration venue, participants can experience a 360§ Safari Tour, showcasing the system's ability to improve user focus while maintaining an immersive experience.","PSNaqcoIgDY","CEZEMBRE","19"
"PO1093","Multi-resolution audiovisual representation of sound fields recorded with a 7th-order ambisonic microphone array.","Francois","Salmon","Noise Makers","Julian","Palacino","Feichter Audio","Pascal","Rueff","Feichter Audio","Charles","Verron","Noise Makers","Mathieu","Paquier","University of Brest",,,,,,,,,,,,,,,,,,,,,,,"As part of the development of an ambisonic microphone array, it is of interest to determine the spatial accuracy required to capture and reproduce a sound field over headphones. A 7th order ambisonic microphone array consisting of 480 MEMs has been developed to capture sound fields with high resolution. This research demonstration allows us to experience the drawbacks of reducing the spatial accuracy of an ambisonic representation obtained with such a prototype. It allows to listen to the captured sound field at different resolutions and to visualise the resulting accuracy in terms of energy over the sphere. The visual information is overlaid on 360 videos to help identify the sound sources around the listener. Such development can find applications in the context of remote monitoring and will enable the study of interactions between auditory and visual cues in the context of Virtual Reality experiences.","lcConBLXJDc","CEZEMBRE","18"
"PO1012","Vision Language Model-Based Solution for Obstruction Attack in AR: A Meta Quest 3 Implementation","Yanming","Xiu","Duke University","Maria","Gorlatova","Duke University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Obstruction attacks in Augmented Reality (AR) pose significant challenges by obscuring critical real-world objects. This work demonstrates the first implementation of obstruction detection on a video see-through head-mounted display (HMD), the Meta Quest 3. Leveraging a vision language models (VLM) and a multi-modal object detection model, our system detects obstructions by analyzing both raw and augmented images. Due to limited access to raw camera feeds, the system employs an image-capturing approach using Oculus casting, capturing a sequence of images and finding the raw image from them. Our implementation showcases the feasibility of effective obstruction detection in AR environments and highlights future opportunities for improving real-time detection through enhanced camera access.","ll1N261nVVA?si=RTftB5cHC6--xtvf","CEZEMBRE","4"
"PO1096","Using Virtual Reality to Raise Awareness of Communication Challenges Faced by Individuals with Hearing Loss","Joanna","Luberadzka","Eurecat","Enric","Guso","Eurecat","Umut","Sayin","Eurecat","Adan","Garriga","Eurecat",,,,,,,,,,,,,,,,,,,,,,,,,,"Hearing loss is typically managed with hearing aids, which amplify sound based on the user's hearing profile. However, unlike glasses for vision, hearing aids cannot address the reduced time-frequency resolution of the auditory system. To raise awareness of the challenges faced by hearing aid users, particularly in complex acoustic environments, we use virtual reality (VR). We integrate hearing loss and hearing aid simulators into a VR application, allowing users to experience the altered soundscape in an immersive way.","NTBqjj3_SLY","CEZEMBRE","17"
"PO1139","Designing Fractal Expressions for Immersive Aesthetic Experiences","Christian","Geiger","University of Applied Sciences Duesseldorf","Emil","Gerhardt","University of Applied Sciences Duesseldorf","Mitja","Saer","University of Applied Sciences Duesseldorf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aesthetic experiences are closely related to human emotions and experiences as well as the perception of aesthetic objects and phenomena. We consider interaction with generated immersive worlds to be an immersive aesthetic experience if it is designed independently of any functional use and can be experienced in an aesthetically pleasing way. The possibilities of generative techniques such as AI and other algorithms and visualization through the integration of virtual reality open up new aesthetic possibilities. We present the results of a collaboration between scientists and designers/artists in the development of a framework for three-dimensional fractals [5] and its application in various scenarios in the field of festivals, performances and exhibitions.",,"CEZEMBRE","20","https://player.vimeo.com/video/1046353499"
"PO1135","XiloVR: Simulation for Teaching and Technique Preservation","Samuel","Costa","Federal University of Rio Grande do Norte","Bianca","Miranda","Federal University of Rio Grande do Norte","Stefane","de Assis Orichuela","Federal University of Rio Grande do Norte","Alyson","Souza","Federal University of Rio Grande do Norte",,,,,,,,,,,,,,,,,,,,,,,,,,"This demonstration introduces a novel approach to exploring the art of woodcut printing through an interactive Virtual Reality (VR) environment, leveraging the educational potential of immersive technologies to promote art and culture. In this context, we developed a physical prototype designed to replace the primary functionalities of hand-based user interaction typically performed with VR controllers. Instead, the system utilizes representations of woodcut production tools, tracked by a sensor, to enable interaction within the immersive environment. The system aims to provide a practical, educational, and immersive experience in artistic creation, innovating teaching methodologies and ensuring the preservation of woodcut printing knowledge for future generations. By combining physical and digital elements, this solution bridges technological accessibility with cultural heritage promotion, offering an engaging and transformative learning platform.","p5fJbtrTVnU","SURCOUF","2"
"PO1090","My Co-worker ChatGPT: Development of an XR Application for Embodied Artificial Intelligence in Work Environments","Philipp","Krop","University of Wurzburg","David","Obremski","University of Wurzburg","Astrid","Carolus","University of Wurzburg","Marc","Latoschik","University of Wurzburg","Carolin","Wienrich","University of Wurzburg",,,,,,,,,,,,,,,,,,,,,,,"With recent developments in spatial computing, work contexts might shift to augmented reality. Embodied AI - virtual conversational agents backed by AI systems - have the potential to enhance these contexts and open up more communication channels than just text. To support knowledge transfer from virtual agent research to the general populace, we developed My CoWorker ChatGPT - an interactive demo where employees can try out various embodied AIs in a virtual office or their own using augmented reality. We use state-of-the-art speech synthesis and body-scanning technology to create believable and trustworthy AI assistants. The demo was shown at multiple events throughout Germany, where it was well received and sparked fruitful conversations about the possibilities of embodied AI in work contexts.","BKt5kxQQuk4","CEZEMBRE","3"
"PO1053","I hear, see, speak & do: Bringing Multimodal Information Processing to Intelligent Virtual Agents for Natural Human-AI Communication","Ke","Li","University of Hamburg","Fariba","Mostajeran","University of Hamburg","Sebastian","Rings","Universitat Hamburg","Lucie","Kruse","Universitat Hamburg","Susanne","Schmidt","University of Canterbury","Michael","Arz","University of Hamburg","Erik","Wolf","University of Hamburg","Frank","Steinicke","frank.steinicke@uni-hamburg.de","Universitat Hamburg",,,,,,,,,,,,,"We present an XR framework with a streamlined workflow for creating and interacting with intelligent virtual agents (IVAs) with multimodal information processing capabilities using commercially available AI tools and cloud services such as large language and vision models. The system supports: (i) the integration of high-quality, customizable virtual 3D human models for visual representations of IVAs and (ii) multimodal communication with generative AI-driven IVAs in immersive XR.","BTKCyC0GgXg","SURCOUF","12"
"PO1094","Fashion Beneath the Skin - a Fashion Exhibition Experience in Social Virtual Reality","Karolina","Wylezek","CWI","Irene","Viola","Centrum Wiskunde en Informatica (CWI)","Pablo","Cesar","Centrum Wiskunde & Informatica (CWI)","Jack","Jansen","Centrum Wiskunde & Informatica","Suzanne","Mulder","Centraal Museum Utrecht","Dylan","Eno","Dylan Eno","Wytze","Koppelman","Netherlands Institute for Sound and Vision","Marta","Franceschini","m.franceschini@fashionheritage.eu","European Fashion Heritage Association","Marco","Rendina","European Fashion Heritage Association","Ninke","Bloemberg","Centraal Museum Utrecht",,,,,,,"Social VR allows users to interact with each other and explore virtual spaces together. This demo presents a social VR fashion museum, where visitors engage with fashion artefacts. The experience spans across three different spaces designed for various goals. This application, created following a human-centred approach, explores how the visitors interact with each other and the exhibits, considering their 3D volumetric representation and changing environmental context throughout the experience.","nEcP7pUq2xw","SURCOUF","6"
