id,ids,Title,"abstract","affiliations"
P1127,P1127,Omnidirectional VR Treadmills Walking Techniques: Comparing Walking-in-Place and Sliding vs Natural Walking,"In Virtual Reality (VR), navigating large environments remains challenging due to space constraints and motion sickness from software-based methods. This study compares natural walking, walking-in-place, and sliding in terms of user performance and experience using VR omnidirectional treadmills (VR-ODTs). Eighteen participants completed a maze task using each method. Results showed that natural walking led to the fastest completion and highest satisfaction, sliding balanced effort and immersion, and walking-in-place required the most exertion. These findings provide insights for selecting VR locomotion methods for training and rehabilitation applications.","Helia Homami: Dalhousie University, Adria Quigley: Dalhousie University, Mayra Donaji Barrera Machuca: Dalhousie University"
P1131,P1131,Slim Diffractive Waveguide Glasses for Beaming Displays with Enhanced Head Orientation Tolerance,"Augmented Reality (AR) glasses require slim, lightweight, and energy-efficient designs for widespread adoption. Beaming Displays offer a solution by shifting active components to the environment, leaving only passive optics in the wearable device. Current designs, however, face challenges in balancing compactness and wide-angle projection tolerance. This study introduces light-receiving glasses with a diffractive waveguide incorporating in-coupling and out-coupling gratings. Our design achieves a wider incident angle range (20-30 degrees) compared to the previous limit of 5 degrees, while maintaining a compact form factor. A proof-of-concept prototype validates the approach, addressing key limitations of existing AR glasses.","Yuta Itoh: The University of Tokyo, Tomoya Nakamura: Osaka University, Yuichi Hiroi: Cluster Metaverse Lab, Kaan Ak?it: University College London"
P1135,P1135,Investigating the Impact of Video Pass-Through Embodiment on Presence and Performance in Virtual Reality,"Creating a compelling sense of presence and embodiment can enhance the user experience in VR. Traditional approaches use personalized or video self-avatars but require external hardware and focus mainly on hand representations. This paper introduces video Pass-Through Embodiment (PTE), a method leveraging per-eye depth maps from Head-Mounted Displays to integrate users' real bodies into VR environments without additional hardware. In a study with 40 participants performing a sorting task, PTE enhanced presence and embodiment despite minor visual artifacts, with no negative impact on performance, cognitive load, or VR sickness. PTE therefore offers a practical alternative to avatar-based methods in VR.","Kristoffer Waldow: TH K”ln, Constantin Kleinbeck: Technical University of Munich, Arnulph Fuhrmann: TH K”ln, Daniel Roth: Technical University of Munich"
P1141,P1141,Effective VR Intervention to Reduce Implicit Bias towards People with Physical Disabilities: The Interplay between Experience Design and Individual Characteristics,"Studies on reducing bias against physical disabilities with VR have shown inconsistent results based on experience design and overlooked potential moderating effects of individual characteristics. This study examined how experience design components and individual characteristics (gender, preexisting bias) moderate VR's effect on bias towards physical disabilities. We designed a VR wheelchair experience manipulating situational context and avatar visualization. Participants' implicit and explicit bias levels were assessed before and after the VR experience. The findings underscore the importance of considering the interaction between experience design and individual characteristics in understanding VR's efficacy as an empathy-inducing tool.","Hyuckjin Jang: KAIST, Jeongmi Lee: KAIST"
P1146,P1146,SplatLoc: 3D Gaussian Splatting-based Visual Localization for Augmented Reality,"In this paper, we propose an efficient visual localization method capable of high-quality rendering with fewer parameters. Specifically, our approach leverages 3D Gaussian primitives as the scene representation. To ensure precise 2D-3D correspondences for pose estimation, we develop an unbiased 3D scene-specific descriptor decoder for Gaussian primitives, distilled from a constructed feature volume. Additionally, we introduce a salient 3D landmark selection algorithm that selects a suitable primitive subset based on the saliency score for localization. We further regularize key Gaussian primitives to prevent anisotropic effects, which also improves localization performance.","Hongjia Zhai: Zhejiang University, Xiyu Zhang: Zhejiang University, Boming Zhao: Zhejiang University, Hai Li: RayNeo, Yijia He: RayNeo, Zhaopeng Cui: Zhejiang University, Hujun Bao: Zhejiang Univeristy, Guofeng Zhang: Zhejiang University"
P1155,P1155,LAPIG: Language Guided Projector Image Generation with Surface Adaptation and Stylization,"We propose LAPIG, a language guided projector image generation method with surface adaptation and stylization. LAPIG consists of a projector-camera system and a target textured projection surface. LAPIG takes the user text prompt as input and aims to transform the surface style using the projector.",""
P1161,P1161,Enhancing consumer insights through VR metaphor elicitation,"Our research introduces a novel system for performing metaphor elicitation interviews (consumer research) in VR, leveraging metaphors and non-verbal communication. Participants use 3D objects to express thoughts and emotions, instead of traditional pictures. The system features an asymmetric setup, with participants immersed in VR through an HMD, while the interviewers view the participant's perspective on a monitor. We discuss the technical and design aspects of the VR system, validating the effectiveness of this approach through a user study (N=17). Results show that immersion, presence and embodied interaction in VR positively affect and aid in sense-making and deeper expression of the participants' thoughts, perspectives and emotions.","Sai Priya Jyothula: University of Illinois Chicago, Andrew E Johnson: University of Illinois Chicago"
P1168,P1168,EmBARDiment: an Embodied AI Agent for Productivity in XR,"XR devices running chat-bots powered by Large Language Models (LLMs) have the to become always-on agents that enable much better productivity scenarios. Current screen based chat-bots do not take advantage of the the full-suite of natural inputs available in XR, including inward facing sensor data, instead they over-rely on explicit voice or text prompts, sometimes paired with multi-modal data dropped as part of the query. We propose a solution that leverages an attention framework that derives context implicitly from user actions, eye-gaze, and contextual memory within the XR environment. Our work  minimizes the need for engineered explicit prompts, fostering grounded and intuitive interactions that glean user insights for the chat-bot.","Riccardo Bovo: Imperial College London, Steven Abreu: University of Groningen, Karan Ahuja: Northwestern University, Eric J Gonzalez: Google, Li-Te Cheng: Google, Mar Gonzalez-Franco: Google"
P1170,P1170,Follow Me: Confirmation-based Group Navigation in Collocated Virtual Reality,"In collocated social virtual reality, spatial synchronization reduces collision risks but limits user autonomy during navigation of large virtual worlds. We introduce a two-phase, confirmation-based group navigation concept allowing users to stay behind and rejoin their group later, using confirmation mechanisms triggered by either the navigator, the passenger, or both. To prevent physical collisions between spatially desynchronized users, we utilize ghost avatars. Our study (N = 24) shows that users valued the autonomy provided by our approach during a guided tour. Furthermore, all techniques achieved comparable levels of co-presence, spatial awareness, and collision avoidance as a baseline group navigation technique.","Tony Jan Zoeppig: Bauhaus-Universit„t Weimar, Anton Benjamin Lammert: Bauhaus-Universit„t Weimar, Ephraim Schott: Bauhaus-Universit„t Weimar, Sebastian Mhlhaus: Bauhaus-Universit„t Weimar, Bernd Froehlich: Bauhaus-Universit„t Weimar"
P1172,P1172,Semantics-Controlled Gaussian Splatting for Outdoor Scene Reconstruction and Rendering in Virtual Reality,"We propose Semantics-Controlled GS (SCGS) enabling the separation of large scene parts outdoor scenes for VR. Additionally, we introduce a novel challenging outdoor dataset, overcoming the ''circling"" setups. We outperform the state-of-the-art in visual quality on our dataset and in segmentation quality on the 3D-OVS dataset. We conducted an exploratory user study, comparing a 360-video, plain GS, and SCGS in VR with a fixed viewpoint. In our subsequent main study, users were allowed to move freely, evaluating plain GS and SCGS. Our main study results show that participants clearly prefer SCGS. We overall present an innovative approach that surpasses the state-of-the-art both technically and in user experience.","Hannah Schieber: Technical University of Munich (TUM), Jacob Young: University of Otago, Tobias Langlotz: University of Otago, Stefanie Zollmann: University of Otago, Daniel Roth: Technical University of Munich"
P1177,P1177,Illuminating the Scene: How Virtual Environments and Learning Modes Shape Film Lighting Mastery in Virtual Reality,"This study explores the impact of virtual environments and collaboration on learning film lighting techniques in VR education. A 3ž2 factorial experiment with 36 participants examined three environments?baseline, dynamic beach, and familiar office. Results revealed the beach heightened engagement but increased frustration for individuals, while team learning in the office reduced frustration and improved collaboration. Team-based learning excelled in the baseline, while individuals performed better in challenging settings. These findings offer insights into optimizing VR environments to enhance learning outcomes in both individual and collaborative settings.","Zheng Wei: The Hong Kong University of Science and Technology, Jia Sun: The Hong Kong University of Science and Technology (Guangzhou), Junxiang LIAO: The Hong Kong University of Science and Technology (Guangzhou), Lik-Hang Lee: Hong Kong Polytechnic University, Chan In Devin SIO: The Hong Kong Polytechnic University, Pan Hui: The Hong Kong University of Science and Technology, Huamin Qu: The Hong Kong University of Science and Technology, Wai Tong: Texas A&M University, Xian Xu: The Hong Kong University of Science and Technology"
P1178,P1178,Robotic Characterization of Markerless Hand-Tracking on Meta Quest Pro and Quest 3 Virtual Reality Headsets,"Markerless hand-tracking has become increasingly common on commercially available virtual and mixed reality headsets to improve the naturalness of interaction and immersivity of virtual environments. However, there has been limited examination of the performance of markerless hand-tracking on commercial head-mounted displays. Here, we propose an evaluation methodology that leverages a robotic manipulator to measure the positional accuracy, jitter, and latency of such systems and provides a standardized characterization framework of markerless hand-tracking. We apply this methodology to evaluate the hand-tracking performance of two recent mixed reality devices from Meta: the Quest Pro and Quest 3.","Eric Godden: Queen's University, William Kenneth Steedman Mr.: Queen's University, Matthew Pan: Queen's University"
P1189,P1189,`Age Isn't Just a Number': Effects of Virtual Human Age and Gender on Persuasion, Social Presence and Influence in Interpersonal Social Encounters in VR,"This study examines the impact of user and virtual human (VH) age and gender on persuasion and social influence in virtual reality (VR), focusing on factors such as brand attitude, interpersonal attraction, source credibility, and presence. Using a 3 (VH age) ž 2 (VH gender) ž 3 (module topic) multi-factorial design (N=45), results reveal that VH age and gender significantly affect their persuasiveness and social impact, which vary depending on the user?s age and gender. Our findings provide novel insights for designing effective virtual sales strategies and tailoring persuasive technologies to diverse user profiles, thus filling a vital gap in understanding the interaction between user and agent characteristics in virtual environments.","Elizabeth A Schlesener: Clemson University, Vyomakesh Shivakumar: Clemson University, Dave Breeze: BMW Group, Brooke Rennison: BMW Group, Burak Soehmelioglu: BMW Group, Sabarish V. Babu: Clemson University"
P1199,P1199,Peripheral Teleportation: A Rest Frame Design to Mitigate Cybersickness During Virtual Locomotion,"Mitigating cybersickness can improve the usability of VR and increase its adoption.  We propose peripheral teleportation, a novel technique that creates a rest frame (RF) in the user's peripheral vision.  Specifically, the peripheral region is rendered by a pair of RF cameras whose transforms are updated by the user's physical motion. We apply alternating teleportations or snap turns to the RF cameras to keep them close to the current viewpoint. We compared peripheral teleportation with a black FOV restrictor and an unrestricted control condition. The results showed that peripheral teleportation significantly reduced discomfort and enabled participants stay immersed longer.","Tongyu Nie: University of Minnesota, Courtney Hutton Pospick: University of Minnesota, Ville Cantory: University of Minnesota, Danhua Zhang: University of Minnesota, Jasmine Joyce DeGuzman: University of Central Florida, Victoria Interrante: University of Minnesota, Isayas Berhe Adhanom: Texas State University, Evan Suma Rosenberg: University of Minnesota"
P1200,P1200,Reduction of Motion Complexity as an Objective Indicator of Cybersickness in Virtual Reality,"Subjective measures, such as the Simulator Sickness Questionnaire, are widely used to assess cybersickness, but they often interrupt the user experience and are prone to bias. To overcome these limitations, researchers also investigated objective indicators. Based on the loss of complexity hypothesis, which suggests that disease or aging can produce a reduction of complexity in physiological system dynamics, we conducted an initial investigation of the relationship between movement complexity and cybersickness. We analyzed motion tracking collected from two previous VR locomotion studies using the d95 score. The results revealed a systematic relationship between movement complexity and cybersickness across both experiments.","Jasmine Joyce DeGuzman: University of Central Florida, Kaori Hirano: Carleton College, Alice Guth: Davidson College, Tabitha C. Peck: Davidson College, Evan Suma Rosenberg: University of Minnesota, Tongyu Nie: University of Minnesota"
P1204,P1204,Order Up! Multimodal Interaction Techniques for Notifications in Augmented Reality,"As augmented reality (AR) becomes integral to professional and social settings, managing frequent notifications effectively is crucial. With users receiving nearly 200 notifications daily on smartphones, translating this interaction to AR requires seamless integration with real-world behaviors. This study examines multimodal interaction with notifications during a virtual cooking task, where participants managed customer orders. We tested Point and Pinch, Gaze and Pinch, Point and Voice, Gaze and Voice, and Touch interaction techniques, analyzing their impact on workload, usability, and performance. The findings highlight challenges in multimodal interaction and provide recommendations for optimizing notification management in AR systems.","Lucas Plabst: Colorado State University, Florian Niebling: TH K”ln ? University of Applied Sciences, Sebastian Oberd”rfer: University of Wrzburg, Francisco Raul Ortega: Colorado State University"
P1217,P1217,PantographHaptics: A Technique for Large-Surface Passive Haptic Interactions using Pantograph Mechanisms,"In Virtual Reality, existing hand-scale passive interaction techniques are unsuitable for continuous large-scale renders: room-scale proxies lack portability, and wearable robotic arms are energy-intensive and induce friction. This paper introduces PantographHaptics, a technique which uses the scaling properties of a pantograph to passively render two-degree-of-freedom body-scale surfaces. We demonstrate PantographHaptics through a grounded prototype, HapticLever, and a wearable prototype, Feedbackpack. We evaluate these prototypes with technical and user evaluations. A 9-participant study compares HapticLever against traditional haptics, while a 7-participant second study verifies Feedbackpack's usability and interaction fidelity.","Marcus Friedel: Vireo Interfaces, Zachary McKendrick: University of Waterloo, Ehud Sharlin: University of Calgary, Ryo Suzuki: University of Colorado Boulder"
P1225,P1225,FocalSelect: Improving Occluded Objects Acquisition with Heuristic Selection and Disambiguation in Virtual Reality,"We present FocalSelect, a heuristic selection technique that builds 3D disambiguation through head-hand coordination and scoring-based functions. Our interaction design adheres to the principle that the intended selection range is a small sector of the headset?s viewing frustum, allowing optimal targets to be identified within this scope. We also introduce a density-aware adjustable occlusion plane for effective depth culling of rendered objects. Two experiments are conducted to assess the adaptability of FocalSelect across different input modalities and its performance against five techniques. The results indicate that FocalSelect enhances selections in occluded and remote scenarios while preserving the spatial context among objects.","Duotun Wang: The Hong Kong University of Science and Technology (Guangzhou), Linjie Qiu: The Hong Kong University of Science and Technology (Guangzhou), Boyu Li: Hong Kong University of Science and Technology (Guangzhou), Qianxi Liu: The Hong Kong University of Science and Technology (Guangzhou), Xiaoying Wei: IIP(Computational Media and Arts), Jianhao Chen: The Hong Kong University of Science and Technology (Guangzhou), Zeyu Wang: The Hong Kong University of Science and Technology (Guangzhou), Mingming Fan: The Hong Kong University of Science and Technology (Guangzhou)"
P1228,P1228,Adaptive Score Alignment Learning for Continual Perceptual Quality Assessment of 360-Degree Videos in Virtual Reality,"Virtual Reality Video Quality Assessment (VR-VQA) aims to evaluate the perceptual quality of 360-degree videos, which is crucial for ensuring a distortion-free user experience. Traditional methods trained on static datasets with limited distortion diversity struggle to balance correlation and precision. To this end, we propose a novel approach for VR-VQA, Adaptive Score Alignment Learning (ASAL). ASAL integrates correlation loss with error loss to enhance alignment with human subjective ratings and precision in predicting perceptual quality. Furthermore, we extend ASAL with adaptive memory replay as a novel Continul Learning (CL) framework. Our experiments demonstrate that ASAL outperforms recent strong baseline models.","Kanglei Zhou: Beihang University, Zikai Hao: Beihang University, Liyuan Wang: Tsinghua University, Xiaohui Liang: Beihang University"
